referrer,views_total,views_unique
github.com,69,23
l.facebook.com,60,17
groups.io,57,18
github-wiki-see.page,29,11
vu3dxr.in,25,7
youtube.com,14,6
Bing,13,3
Google,9,5
lm.facebook.com,7,4
qrz.com,4,2
