referrer,views_total,views_unique
github.com,84,25
youtube.com,70,14
groups.io,65,16
github-wiki-see.page,14,5
l.facebook.com,13,7
Google,6,5
m.facebook.com,5,4
qrz.com,4,2
lm.facebook.com,3,3
vu3dxr.in,3,3
