time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,18,9,109,22
2026-08-02 00:00:00+00:00,25,9,70,17
2026-08-03 00:00:00+00:00,3,3,72,21
2026-08-04 00:00:00+00:00,3,3,109,26
2026-08-05 00:00:00+00:00,24,10,58,16
2026-08-06 00:00:00+00:00,5,2,163,17
2026-08-07 00:00:00+00:00,6,6,81,16
2026-08-08 00:00:00+00:00,11,5,91,20
2026-08-09 00:00:00+00:00,3,3,45,14
2026-08-10 00:00:00+00:00,2,2,80,18
2026-08-11 00:00:00+00:00,14,5,58,11
2026-08-12 00:00:00+00:00,15,6,14,10
2026-08-13 00:00:00+00:00,29,13,61,18
2026-08-14 00:00:00+00:00,3,3,39,13
