url_path,views_total,views_unique
/drexjj/sbitx,153,58
/drexjj/sbitx/wiki,99,35
/drexjj/sbitx/releases,91,46
/drexjj/sbitx/wiki/sBitx-Microphone-Alternatives,51,39
/drexjj/sbitx/wiki/How-to-Boot-From-USB,40,9
/drexjj/sbitx/wiki/How-to-install-or-upgrade-your-sBitx-application,34,19
/drexjj/sbitx/wiki/Installing-a-sBitx-image-On-Your-SD-Card,29,9
/drexjj/sbitx/blob/main/release_notes.md,28,20
/drexjj/sbitx/releases/tag/sBitx-54-64b-prod,21,11
/drexjj/sbitx/wiki/Raspberry-Pi-images,17,10
