referrer,views_total,views_unique
github.com,113,33
groups.io,106,30
youtube.com,54,12
github-wiki-see.page,33,3
l.facebook.com,15,7
shop.g7ufo.radio,5,3
vu3dxr.in,3,3
Google,3,2
facebook.com,3,2
m.facebook.com,2,1
