referrer,views_total,views_unique
groups.io,275,57
github.com,135,38
youtube.com,74,25
l.facebook.com,42,19
vu3dxr.in,36,14
Google,17,6
m.facebook.com,11,4
lm.facebook.com,10,4
davidsaylors.com,5,4
qrz.com,5,1
