referrer,views_total,views_unique
groups.io,232,44
github.com,123,32
youtube.com,72,22
vu3dxr.in,29,12
l.facebook.com,27,11
Google,16,5
davidsaylors.com,10,5
lm.facebook.com,7,2
qrz.com,5,1
github-wiki-see.page,4,2
