referrer,views_total,views_unique
github.com,100,25
groups.io,75,20
l.facebook.com,71,24
vu3dxr.in,20,6
youtube.com,19,6
github-wiki-see.page,17,8
Google,15,8
Bing,13,3
lm.facebook.com,7,4
qrz.com,5,3
