referrer,views_total,views_unique
github.com,71,21
groups.io,48,18
youtube.com,40,8
vu3dxr.in,10,4
l.facebook.com,7,5
github-wiki-see.page,6,2
facebook.com,5,3
shop.g7ufo.radio,4,3
lm.facebook.com,4,2
qrz.com,4,1
