referrer,views_total,views_unique
youtube.com,131,9
github.com,65,23
vu3dxr.in,37,13
l.facebook.com,29,7
groups.io,16,11
davidsaylors.com,14,1
m.youtube.com,5,1
lm.facebook.com,4,2
Google,1,1
facebook.com,1,1
