referrer,views_total,views_unique
groups.io,230,45
github.com,127,35
youtube.com,79,26
l.facebook.com,30,13
vu3dxr.in,28,11
Google,17,6
lm.facebook.com,7,2
davidsaylors.com,5,4
qrz.com,5,1
github-wiki-see.page,4,2
