referrer,views_total,views_unique
github.com,124,27
groups.io,75,10
youtube.com,55,10
l.facebook.com,17,5
vu3dxr.in,14,6
qrz.com,13,2
Google,6,4
search.brave.com,6,1
davidsaylors.com,3,1
github-wiki-see.page,1,1
