referrer,views_total,views_unique
github.com,99,24
groups.io,79,22
l.facebook.com,50,23
youtube.com,22,8
vu3dxr.in,20,6
Google,16,9
Bing,13,3
github-wiki-see.page,11,6
lm.facebook.com,7,4
qrz.com,2,2
