time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,22,9,76,20
2026-07-19 00:00:00+00:00,8,4,71,19
2026-07-20 00:00:00+00:00,41,15,103,20
2026-07-21 00:00:00+00:00,20,6,64,15
2026-07-22 00:00:00+00:00,6,6,53,18
2026-07-23 00:00:00+00:00,21,9,90,18
2026-07-24 00:00:00+00:00,6,6,60,13
2026-07-25 00:00:00+00:00,23,10,41,9
2026-07-26 00:00:00+00:00,10,6,112,18
2026-07-27 00:00:00+00:00,7,7,29,10
2026-07-28 00:00:00+00:00,20,11,52,13
2026-07-29 00:00:00+00:00,19,10,71,17
2026-07-30 00:00:00+00:00,8,7,67,18
2026-07-31 00:00:00+00:00,30,15,104,21
