time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-26 00:00:00+00:00,10,6,112,18
2026-07-27 00:00:00+00:00,7,7,29,10
2026-07-28 00:00:00+00:00,20,11,52,13
2026-07-29 00:00:00+00:00,19,10,71,17
2026-07-30 00:00:00+00:00,8,7,67,18
2026-07-31 00:00:00+00:00,30,15,104,21
2026-08-01 00:00:00+00:00,18,9,109,22
2026-08-02 00:00:00+00:00,25,9,70,17
2026-08-03 00:00:00+00:00,3,3,72,21
2026-08-04 00:00:00+00:00,3,3,109,26
2026-08-05 00:00:00+00:00,24,10,58,16
2026-08-06 00:00:00+00:00,5,2,163,17
2026-08-07 00:00:00+00:00,6,6,81,16
2026-08-08 00:00:00+00:00,11,5,91,20
