referrer,views_total,views_unique
github.com,103,30
groups.io,27,13
youtube.com,21,8
Google,11,6
vu3dxr.in,8,5
l.facebook.com,6,5
github-wiki-see.page,4,3
m.youtube.com,2,2
chatgpt.com,1,1
search.brave.com,1,1
