referrer,views_total,views_unique
github.com,75,24
l.facebook.com,62,19
groups.io,55,14
github-wiki-see.page,31,13
vu3dxr.in,23,6
youtube.com,14,6
Bing,13,3
lm.facebook.com,10,6
Google,8,6
m.facebook.com,4,4
