referrer,views_total,views_unique
github.com,164,45
groups.io,113,14
youtube.com,77,9
vu3dxr.in,50,15
l.facebook.com,42,10
davidsaylors.com,21,3
lm.facebook.com,7,3
Google,4,2
m.youtube.com,4,2
facebook.com,3,2
