time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,1,1,9,5
2026-09-05 00:00:00+00:00,4,4,55,13
2026-09-06 00:00:00+00:00,3,3,67,14
2026-09-07 00:00:00+00:00,1,1,45,11
2026-09-08 00:00:00+00:00,3,3,28,9
2026-09-09 00:00:00+00:00,2,2,101,38
2026-09-10 00:00:00+00:00,3,3,116,24
2026-09-11 00:00:00+00:00,3,3,54,14
2026-09-12 00:00:00+00:00,8,8,61,14
2026-09-13 00:00:00+00:00,10,10,19,10
2026-09-14 00:00:00+00:00,3,3,36,13
2026-09-15 00:00:00+00:00,6,5,65,16
2026-09-16 00:00:00+00:00,25,11,20,9
2026-09-17 00:00:00+00:00,4,4,29,10
