time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,39,15,39,14
2026-06-16 00:00:00+00:00,29,13,18,7
2026-06-17 00:00:00+00:00,38,12,57,11
2026-06-18 00:00:00+00:00,34,13,39,11
2026-06-19 00:00:00+00:00,37,10,67,12
2026-06-20 00:00:00+00:00,36,12,35,12
2026-06-21 00:00:00+00:00,41,10,48,15
2026-06-22 00:00:00+00:00,34,11,67,19
2026-06-23 00:00:00+00:00,34,10,48,16
2026-06-24 00:00:00+00:00,140,14,91,21
2026-06-25 00:00:00+00:00,32,9,58,12
2026-06-26 00:00:00+00:00,28,13,72,12
2026-06-27 00:00:00+00:00,18,8,29,12
2026-06-28 00:00:00+00:00,8,4,51,14
