referrer,views_total,views_unique
github.com,172,41
groups.io,83,13
youtube.com,69,9
vu3dxr.in,56,16
l.facebook.com,41,8
davidsaylors.com,7,1
search.brave.com,6,1
lm.facebook.com,4,3
m.youtube.com,4,2
github-wiki-see.page,3,3
