referrer,views_total,views_unique
github.com,73,23
groups.io,51,20
youtube.com,40,7
vu3dxr.in,11,4
l.facebook.com,7,5
github-wiki-see.page,6,2
facebook.com,5,3
lm.facebook.com,4,2
qrz.com,4,1
shop.g7ufo.radio,3,2
