referrer,views_total,views_unique
github.com,85,27
youtube.com,63,13
groups.io,33,11
github-wiki-see.page,28,7
l.facebook.com,22,8
Google,7,5
qrz.com,7,2
m.facebook.com,5,4
lm.facebook.com,3,3
vu3dxr.in,2,2
