referrer,views_total,views_unique
groups.io,182,56
github.com,135,42
youtube.com,62,25
l.facebook.com,36,15
Google,18,11
vu3dxr.in,17,7
qrz.com,17,1
m.facebook.com,13,6
lm.facebook.com,9,6
github-wiki-see.page,6,3
