time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,28,7,27,12
2026-05-02 00:00:00+00:00,18,5,81,14
2026-05-03 00:00:00+00:00,27,10,47,14
2026-05-04 00:00:00+00:00,35,9,37,14
2026-05-05 00:00:00+00:00,24,8,68,20
2026-05-06 00:00:00+00:00,58,29,77,18
2026-05-07 00:00:00+00:00,32,12,50,14
2026-05-08 00:00:00+00:00,32,11,122,19
2026-05-09 00:00:00+00:00,30,9,61,19
2026-05-10 00:00:00+00:00,14,5,95,27
2026-05-11 00:00:00+00:00,16,6,56,20
2026-05-12 00:00:00+00:00,31,8,66,29
2026-05-13 00:00:00+00:00,21,6,35,14
2026-05-14 00:00:00+00:00,8,3,18,6
