referrer,views_total,views_unique
github.com,104,33
groups.io,61,29
youtube.com,18,8
l.facebook.com,9,4
vu3dxr.in,7,3
github-wiki-see.page,6,2
shop.g7ufo.radio,4,3
facebook.com,4,2
qrz.com,3,1
Google,2,2
