time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,140,14,91,21
2026-06-25 00:00:00+00:00,32,9,58,12
2026-06-26 00:00:00+00:00,28,13,72,12
2026-06-27 00:00:00+00:00,18,8,29,12
2026-06-28 00:00:00+00:00,8,4,51,14
2026-06-29 00:00:00+00:00,22,9,43,13
2026-06-30 00:00:00+00:00,4,4,38,8
2026-07-01 00:00:00+00:00,22,9,38,11
2026-07-02 00:00:00+00:00,23,12,185,29
2026-07-03 00:00:00+00:00,77,28,173,20
2026-07-04 00:00:00+00:00,40,15,356,88
2026-07-05 00:00:00+00:00,19,12,303,69
2026-07-06 00:00:00+00:00,13,7,93,31
2026-07-07 00:00:00+00:00,32,10,133,29
