referrer,views_total,views_unique
groups.io,282,63
github.com,168,50
youtube.com,71,28
l.facebook.com,40,19
vu3dxr.in,30,11
Google,17,10
lm.facebook.com,15,7
qrz.com,14,1
m.facebook.com,13,6
github-wiki-see.page,6,3
