referrer,views_total,views_unique
github.com,67,25
groups.io,46,18
youtube.com,17,8
vu3dxr.in,10,4
l.facebook.com,7,5
github-wiki-see.page,6,2
shop.g7ufo.radio,4,3
facebook.com,4,2
lm.facebook.com,4,2
qrz.com,4,1
