referrer,views_total,views_unique
github.com,106,26
groups.io,73,23
l.facebook.com,63,24
vu3dxr.in,20,6
youtube.com,20,6
Google,17,10
lm.facebook.com,12,4
github-wiki-see.page,11,6
Bing,10,2
qrz.com,2,2
