time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,19,10,60,8
2026-06-02 00:00:00+00:00,27,13,45,10
2026-06-03 00:00:00+00:00,2,2,46,9
2026-06-04 00:00:00+00:00,3,3,68,13
2026-06-05 00:00:00+00:00,3,3,60,14
2026-06-06 00:00:00+00:00,39,22,37,5
2026-06-07 00:00:00+00:00,14,5,27,14
2026-06-08 00:00:00+00:00,15,6,40,8
2026-06-09 00:00:00+00:00,15,6,62,15
2026-06-10 00:00:00+00:00,38,26,31,10
2026-06-11 00:00:00+00:00,9,4,57,13
2026-06-12 00:00:00+00:00,36,10,63,23
2026-06-13 00:00:00+00:00,29,13,108,14
2026-06-14 00:00:00+00:00,30,12,81,28
