referrer,views_total,views_unique
github.com,82,28
youtube.com,61,7
groups.io,39,17
vu3dxr.in,19,7
l.facebook.com,16,13
lm.facebook.com,14,7
facebook.com,9,6
github-wiki-see.page,7,2
qrz.com,4,1
shop.g7ufo.radio,3,2
