time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-07 00:00:00+00:00,32,12,50,14
2026-05-08 00:00:00+00:00,32,11,122,19
2026-05-09 00:00:00+00:00,30,9,61,19
2026-05-10 00:00:00+00:00,14,5,95,27
2026-05-11 00:00:00+00:00,16,6,56,20
2026-05-12 00:00:00+00:00,31,8,66,29
2026-05-13 00:00:00+00:00,21,6,35,14
2026-05-14 00:00:00+00:00,8,3,18,6
2026-05-15 00:00:00+00:00,18,6,43,14
2026-05-16 00:00:00+00:00,11,5,41,17
2026-05-17 00:00:00+00:00,16,7,12,4
2026-05-18 00:00:00+00:00,10,6,24,8
2026-05-19 00:00:00+00:00,15,6,35,19
2026-05-20 00:00:00+00:00,7,2,73,28
