referrer,views_total,views_unique
github.com,133,35
groups.io,71,14
github-wiki-see.page,31,2
youtube.com,20,6
l.facebook.com,15,7
lm.facebook.com,4,1
vu3dxr.in,2,2
facebook.com,2,1
Google,1,1
