url_path,views_total,views_unique
/drexjj/sbitx,138,62
/drexjj/sbitx/tree/dev,114,17
/drexjj/sbitx/wiki,82,44
/drexjj/sbitx/releases,47,26
/drexjj/sbitx/releases/tag/sBitx-53-64b-Prod,32,9
/drexjj/sbitx/wiki/sBitx-Microphone-Alternatives,22,17
/drexjj/sbitx/wiki/How-to-Boot-From-USB,22,9
/drexjj/sbitx/wiki/sBitx-Hardware-Calibration,16,11
/drexjj/sbitx/wiki/Flash-the-Internal-SD-Card-from-a-USB-Drive-using-SD-Card-Copier,11,9
/drexjj/sbitx/wiki/How-to-install-or-upgrade-your-sBitx-application,11,6
