time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,14,5,65,11
2026-05-27 00:00:00+00:00,24,11,90,13
2026-05-28 00:00:00+00:00,7,2,68,17
2026-05-29 00:00:00+00:00,15,5,45,11
2026-05-30 00:00:00+00:00,38,16,85,15
2026-05-31 00:00:00+00:00,11,6,58,18
2026-06-01 00:00:00+00:00,19,10,60,8
2026-06-02 00:00:00+00:00,27,13,45,10
2026-06-03 00:00:00+00:00,2,2,46,9
2026-06-04 00:00:00+00:00,3,3,68,13
2026-06-05 00:00:00+00:00,3,3,60,14
2026-06-06 00:00:00+00:00,39,22,37,5
2026-06-07 00:00:00+00:00,14,5,27,14
2026-06-08 00:00:00+00:00,15,6,40,8
