referrer,views_total,views_unique
github.com,66,20
l.facebook.com,47,11
youtube.com,41,11
groups.io,29,11
github-wiki-see.page,21,8
m.facebook.com,10,8
lm.facebook.com,9,8
Google,5,4
qrz.com,5,1
vu3dxr.in,4,2
