referrer,views_total,views_unique
github.com,74,23
l.facebook.com,66,14
groups.io,47,14
github-wiki-see.page,26,11
vu3dxr.in,16,4
Bing,13,3
youtube.com,11,6
lm.facebook.com,9,7
m.facebook.com,7,5
qrz.com,4,2
