referrer,views_total,views_unique
groups.io,193,59
github.com,143,42
youtube.com,69,28
l.facebook.com,36,15
Google,18,11
vu3dxr.in,18,8
qrz.com,14,1
m.facebook.com,13,6
lm.facebook.com,9,6
github-wiki-see.page,6,3
