referrer,views_total,views_unique
groups.io,104,33
github.com,86,35
youtube.com,54,15
search.brave.com,16,1
github-wiki-see.page,15,3
shop.g7ufo.radio,5,3
Google,4,4
l.facebook.com,4,3
facebook.com,1,1
qrz.com,1,1
