time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-21 00:00:00+00:00,20,6,64,15
2026-07-22 00:00:00+00:00,6,6,53,18
2026-07-23 00:00:00+00:00,21,9,90,18
2026-07-24 00:00:00+00:00,6,6,60,13
2026-07-25 00:00:00+00:00,23,10,41,9
2026-07-26 00:00:00+00:00,10,6,112,18
2026-07-27 00:00:00+00:00,7,7,29,10
2026-07-28 00:00:00+00:00,20,11,52,13
2026-07-29 00:00:00+00:00,19,10,71,17
2026-07-30 00:00:00+00:00,8,7,67,18
2026-07-31 00:00:00+00:00,30,15,104,21
2026-08-01 00:00:00+00:00,18,9,109,22
2026-08-02 00:00:00+00:00,25,9,70,17
2026-08-03 00:00:00+00:00,3,3,72,21
