time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,15,6,40,8
2026-06-09 00:00:00+00:00,15,6,62,15
2026-06-10 00:00:00+00:00,38,26,31,10
2026-06-11 00:00:00+00:00,9,4,57,13
2026-06-12 00:00:00+00:00,36,10,63,23
2026-06-13 00:00:00+00:00,29,13,108,14
2026-06-14 00:00:00+00:00,30,12,81,28
2026-06-15 00:00:00+00:00,39,15,39,14
2026-06-16 00:00:00+00:00,29,13,18,7
2026-06-17 00:00:00+00:00,38,12,57,11
2026-06-18 00:00:00+00:00,34,13,39,11
2026-06-19 00:00:00+00:00,37,10,67,12
2026-06-20 00:00:00+00:00,36,12,35,12
2026-06-21 00:00:00+00:00,41,10,48,15
