referrer,views_total,views_unique
github.com,181,44
youtube.com,89,10
groups.io,86,16
vu3dxr.in,57,17
l.facebook.com,30,7
davidsaylors.com,19,2
lm.facebook.com,7,3
search.brave.com,6,1
Google,5,3
m.youtube.com,4,2
