time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,3,3,116,24
2026-09-11 00:00:00+00:00,3,3,54,14
2026-09-12 00:00:00+00:00,8,8,61,14
2026-09-13 00:00:00+00:00,10,10,19,10
2026-09-14 00:00:00+00:00,3,3,36,13
2026-09-15 00:00:00+00:00,6,5,65,16
2026-09-16 00:00:00+00:00,25,11,20,9
2026-09-17 00:00:00+00:00,4,4,29,10
2026-09-18 00:00:00+00:00,7,6,64,13
2026-09-19 00:00:00+00:00,9,5,42,9
2026-09-20 00:00:00+00:00,9,5,39,12
2026-09-21 00:00:00+00:00,23,12,35,11
2026-09-22 00:00:00+00:00,14,9,50,16
2026-09-23 00:00:00+00:00,1,1,62,19
