time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-09 00:00:00+00:00,2,2,104,26
2026-07-10 00:00:00+00:00,42,15,154,28
2026-07-11 00:00:00+00:00,20,6,124,30
2026-07-12 00:00:00+00:00,10,7,171,30
2026-07-13 00:00:00+00:00,38,21,105,22
2026-07-14 00:00:00+00:00,23,19,135,17
2026-07-15 00:00:00+00:00,20,9,80,21
2026-07-16 00:00:00+00:00,31,11,91,25
2026-07-17 00:00:00+00:00,22,9,82,21
2026-07-18 00:00:00+00:00,22,9,76,20
2026-07-19 00:00:00+00:00,8,4,71,19
2026-07-20 00:00:00+00:00,41,15,103,20
2026-07-21 00:00:00+00:00,20,6,64,15
2026-07-22 00:00:00+00:00,6,6,53,18
