referrer,views_total,views_unique
groups.io,124,16
github.com,115,40
youtube.com,54,9
l.facebook.com,50,11
vu3dxr.in,40,11
davidsaylors.com,24,3
lm.facebook.com,7,3
facebook.com,3,2
Google,3,1
m.youtube.com,3,1
