referrer,views_total,views_unique
github.com,90,20
youtube.com,86,10
vu3dxr.in,33,13
l.facebook.com,27,7
groups.io,25,13
davidsaylors.com,14,1
qrz.com,11,1
m.youtube.com,5,1
Google,2,2
lm.facebook.com,2,1
