time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,10,5,31,11
2026-04-10 00:00:00+00:00,10,6,35,11
2026-04-11 00:00:00+00:00,33,10,70,12
2026-04-12 00:00:00+00:00,2,2,97,11
2026-04-13 00:00:00+00:00,5,5,57,16
2026-04-14 00:00:00+00:00,16,5,49,22
2026-04-15 00:00:00+00:00,5,4,67,18
2026-04-16 00:00:00+00:00,8,3,37,13
2026-04-17 00:00:00+00:00,9,4,23,10
2026-04-18 00:00:00+00:00,16,8,27,12
2026-04-19 00:00:00+00:00,33,12,101,20
2026-04-20 00:00:00+00:00,44,28,94,20
2026-04-21 00:00:00+00:00,58,34,65,23
2026-04-22 00:00:00+00:00,69,45,49,18
