time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,26,19,87,23
2026-03-30 00:00:00+00:00,12,8,57,14
2026-03-31 00:00:00+00:00,7,7,103,17
2026-04-01 00:00:00+00:00,14,12,130,13
2026-04-02 00:00:00+00:00,12,8,112,17
2026-04-03 00:00:00+00:00,12,10,76,26
2026-04-04 00:00:00+00:00,8,4,42,14
2026-04-05 00:00:00+00:00,4,4,51,13
2026-04-06 00:00:00+00:00,12,8,108,11
2026-04-07 00:00:00+00:00,23,13,105,25
2026-04-08 00:00:00+00:00,17,9,79,14
2026-04-09 00:00:00+00:00,10,5,31,11
2026-04-10 00:00:00+00:00,10,6,35,11
2026-04-11 00:00:00+00:00,33,10,70,12
