referrer,views_total,views_unique
groups.io,104,34
github.com,62,27
youtube.com,55,16
search.brave.com,16,1
github-wiki-see.page,15,3
Google,4,4
l.facebook.com,4,3
shop.g7ufo.radio,3,2
facebook.com,2,2
qrz.com,1,1
