url_path,views_total,views_unique
/drexjj/sbitx,216,87
/drexjj/sbitx/releases,134,60
/drexjj/sbitx/tree/dev-54bugfixes,128,12
/drexjj/sbitx/wiki,117,47
/drexjj/sbitx/wiki/How-to-install-or-upgrade-your-sBitx-application,67,41
/drexjj/sbitx/blob/main/release_notes.md,47,32
/drexjj/sbitx/pulls,42,12
/drexjj/sbitx/wiki/How-to-Boot-From-USB,34,15
/drexjj/sbitx/wiki/Raspberry-Pi-images,32,14
/drexjj/sbitx/releases/tag/sBitx-54-64b-prod,31,19
