referrer,views_total,views_unique
github.com,93,28
youtube.com,67,12
groups.io,37,14
github-wiki-see.page,28,7
l.facebook.com,23,9
qrz.com,7,2
Google,6,5
m.facebook.com,5,4
lm.facebook.com,3,3
vu3dxr.in,2,2
