referrer,views_total,views_unique
github.com,122,30
l.facebook.com,61,20
groups.io,54,22
Google,17,8
youtube.com,16,4
lm.facebook.com,9,3
m.youtube.com,9,1
vu3dxr.in,8,3
Yahoo,4,1
github-wiki-see.page,2,2
