referrer,views_total,views_unique
github.com,79,24
groups.io,65,16
youtube.com,62,14
l.facebook.com,14,8
github-wiki-see.page,13,4
Google,7,6
m.facebook.com,5,4
facebook.com,4,3
qrz.com,4,2
Bing,4,1
