time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,14,5,58,11
2026-08-12 00:00:00+00:00,15,6,14,10
2026-08-13 00:00:00+00:00,29,13,61,18
2026-08-14 00:00:00+00:00,3,3,39,13
2026-08-15 00:00:00+00:00,1,1,66,10
2026-08-16 00:00:00+00:00,5,3,52,15
2026-08-17 00:00:00+00:00,4,4,73,14
2026-08-18 00:00:00+00:00,5,4,67,17
2026-08-19 00:00:00+00:00,23,16,87,14
2026-08-20 00:00:00+00:00,8,7,31,10
2026-08-21 00:00:00+00:00,4,4,55,13
2026-08-22 00:00:00+00:00,3,3,37,17
2026-08-23 00:00:00+00:00,9,4,64,14
2026-08-24 00:00:00+00:00,5,4,86,13
