referrer,views_total,views_unique
github.com,90,25
groups.io,69,24
youtube.com,39,11
l.facebook.com,25,9
github-wiki-see.page,16,7
Google,7,7
facebook.com,4,3
Bing,4,1
m.facebook.com,3,2
qrz.com,2,2
