url_path,views_total,views_unique
/drexjj/sbitx,149,57
/drexjj/sbitx/wiki,97,35
/drexjj/sbitx/releases,86,44
/drexjj/sbitx/wiki/How-to-Boot-From-USB,45,11
/drexjj/sbitx/wiki/sBitx-Microphone-Alternatives,40,31
/drexjj/sbitx/wiki/How-to-install-or-upgrade-your-sBitx-application,36,19
/drexjj/sbitx/wiki/Installing-a-sBitx-image-On-Your-SD-Card,29,9
/drexjj/sbitx/blob/main/release_notes.md,27,19
/drexjj/sbitx/releases/tag/sBitx-54-64b-prod,21,11
/drexjj/sbitx/wiki/How-to-save-your-configuration-files,16,9
