referrer,views_total,views_unique
github.com,116,34
youtube.com,57,6
groups.io,54,21
vu3dxr.in,22,8
l.facebook.com,15,11
lm.facebook.com,15,8
facebook.com,7,6
github-wiki-see.page,7,2
shop.g7ufo.radio,5,3
Google,2,2
