referrer,views_total,views_unique
groups.io,121,32
github.com,82,27
youtube.com,48,12
github-wiki-see.page,33,3
l.facebook.com,13,6
shop.g7ufo.radio,5,3
facebook.com,3,2
Google,2,2
vu3dxr.in,2,2
m.facebook.com,2,1
