referrer,views_total,views_unique
github.com,99,23
groups.io,94,32
l.facebook.com,27,11
youtube.com,18,9
github-wiki-see.page,17,4
Google,7,4
Bing,4,1
facebook.com,2,2
vu3dxr.in,2,2
m.facebook.com,1,1
