time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,28,10,33,14
2026-05-24 00:00:00+00:00,13,8,33,14
2026-05-25 00:00:00+00:00,8,5,47,19
2026-05-26 00:00:00+00:00,14,5,65,11
2026-05-27 00:00:00+00:00,24,11,90,13
2026-05-28 00:00:00+00:00,7,2,68,17
2026-05-29 00:00:00+00:00,15,5,45,11
2026-05-30 00:00:00+00:00,38,16,85,15
2026-05-31 00:00:00+00:00,11,6,58,18
2026-06-01 00:00:00+00:00,19,10,60,8
2026-06-02 00:00:00+00:00,27,13,45,10
2026-06-03 00:00:00+00:00,2,2,46,9
2026-06-04 00:00:00+00:00,3,3,68,13
2026-06-05 00:00:00+00:00,3,3,60,14
